MatchID,TournamentID,MatchName,Stage,MatchDate,MatchTime,StadiumID,HomeTeamID,AwayTeamID,HomeTeamScore,AwayTeamScore,ExtraTime,PenaltyShootout,HomePenalty,AwayPenalty,Result
M-2006-52,WC-2006,Portugal v Netherlands,round of 16,6/25/2006,21:00:00,S-066,T-56,T-46,1,0,0,0,0,0,home team win
M-2006-53,WC-2006,Italy v Australia,round of 16,6/26/2006,17:00:00,S-062,T-39,T-04,1,0,0,0,0,0,home team win
M-2006-54,WC-2006,Switzerland v Ukraine,round of 16,6/26/2006,21:00:00,S-054,T-73,T-78,0,0,1,1,0,3,away team win
M-2006-55,WC-2006,Brazil v Ghana,round of 16,6/27/2006,17:00:00,S-055,T-09,T-30,3,0,0,0,0,0,home team win
M-2006-56,WC-2006,Spain v France,round of 16,6/27/2006,21:00:00,S-061,T-71,T-28,1,3,0,0,0,0,away team win
M-2006-57,WC-2006,Germany v Argentina,quarter-finals,6/30/2006,17:00:00,S-053,T-29,T-03,1,1,1,1,4,2,home team win
M-2006-58,WC-2006,Italy v Ukraine,quarter-finals,6/30/2006,21:00:00,S-060,T-39,T-78,3,0,0,0,0,0,home team win
M-2006-59,WC-2006,England v Portugal,quarter-finals,07/01/2006,17:00:00,S-058,T-27,T-56,0,0,1,1,1,3,away team win
M-2006-60,WC-2006,Brazil v France,quarter-finals,07/01/2006,21:00:00,S-057,T-09,T-28,0,1,0,0,0,0,away team win
M-2006-61,WC-2006,Germany v Italy,semi-finals,07/04/2006,21:00:00,S-055,T-29,T-39,0,2,1,0,0,0,away team win
M-2006-62,WC-2006,Portugal v France,semi-finals,07/05/2006,21:00:00,S-064,T-56,T-28,0,1,0,0,0,0,away team win
M-2006-63,WC-2006,Germany v Portugal,third-place match,07/08/2006,21:00:00,S-067,T-29,T-56,3,1,0,0,0,0,home team win
M-2006-64,WC-2006,Italy v France,final,07/09/2006,20:00:00,S-053,T-39,T-28,1,1,1,1,5,3,home team win
M-2010-01,WC-2010,South Africa v Mexico,group stage,06/11/2010,16:00:00,S-131,T-68,T-44,1,1,0,0,0,0,draw
M-2010-02,WC-2010,Uruguay v France,group stage,06/11/2010,20:30:00,S-128,T-81,T-28,0,0,0,0,0,0,draw
M-2010-03,WC-2010,South Korea v Greece,group stage,06/12/2010,13:30:00,S-134,T-69,T-31,2,0,0,0,0,0,home team win
M-2010-04,WC-2010,Argentina v Nigeria,group stage,06/12/2010,16:00:00,S-130,T-03,T-48,1,0,0,0,0,0,home team win
M-2010-05,WC-2010,England v United States,group stage,06/12/2010,20:30:00,S-136,T-27,T-80,1,1,0,0,0,0,draw
M-2010-06,WC-2010,Algeria v Slovenia,group stage,6/13/2010,13:30:00,S-133,T-01,T-67,0,1,0,0,0,0,away team win
M-2010-07,WC-2010,Serbia v Ghana,group stage,6/13/2010,16:00:00,S-135,T-64,T-30,0,1,0,0,0,0,away team win
M-2010-08,WC-2010,Germany v Australia,group stage,6/13/2010,20:30:00,S-129,T-29,T-04,4,0,0,0,0,0,home team win
M-2010-09,WC-2010,Netherlands v Denmark,group stage,6/14/2010,13:30:00,S-131,T-46,T-21,2,0,0,0,0,0,home team win
M-2010-10,WC-2010,Japan v Cameroon,group stage,6/14/2010,16:00:00,S-127,T-42,T-11,1,0,0,0,0,0,home team win
M-2010-11,WC-2010,Italy v Paraguay,group stage,6/14/2010,20:30:00,S-128,T-39,T-53,1,1,0,0,0,0,draw
M-2010-12,WC-2010,New Zealand v Slovakia,group stage,6/15/2010,13:30:00,S-136,T-47,T-66,1,1,0,0,0,0,draw
M-2010-13,WC-2010,Ivory Coast v Portugal,group stage,6/15/2010,16:00:00,S-134,T-40,T-56,0,0,0,0,0,?,draw
M-2010-14,WC-2010,Brazil v North Korea,group stage,6/15/2010,20:30:00,S-130,T-09,T-49,2,1,0,0,?,0,home team win
M-2010-15,WC-2010,Honduras v Chile,group stage,6/16/2010,13:30:00,S-132,T-33,T-13,0,1,0,0,0,0,away team win
M-2010-16,WC-2010,Spain v Switzerland,group stage,6/16/2010,16:00:00,S-129,T-71,T-73,0,1,0,0,0,0,away team win
M-2010-17,WC-2010,South Africa v Uruguay,group stage,6/16/2010,20:30:00,S-135,T-68,T-81,0,3,0,0,0,0,away team win
M-2010-18,WC-2010,Argentina v South Korea,group stage,6/17/2010,13:30:00,S-131,T-03,T-69,4,1,0,0,0,0,home team win
M-2010-19,WC-2010,Greece v Nigeria,group stage,6/17/2010,16:00:00,S-127,T-31,T-48,2,1,0,0,0,0,home team win
M-2010-20,WC-2010,France v Mexico,group stage,6/17/2010,20:30:00,S-133,T-28,T-44,0,2,0,0,0,0,away team win
M-2010-21,WC-2010,Germany v Serbia,group stage,6/18/2010,13:30:00,S-134,T-29,T-64,0,1,0,0,0,0,away team win
M-2010-22,WC-2010,Slovenia v United States,group stage,6/18/2010,16:00:00,S-130,T-67,T-80,2,2,0,0,0,0,draw
M-2010-23,WC-2010,England v Algeria,group stage,6/18/2010,20:30:00,S-128,T-27,T-01,0,0,0,0,0,0,draw
M-2010-24,WC-2010,Netherlands v Japan,group stage,6/19/2010,13:30:00,S-129,T-46,T-42,1,0,0,0,0,?,home team win
M-2010-25,WC-2010,Ghana v Australia,group stage,6/19/2010,16:00:00,S-136,T-30,T-04,1,1,0,0,?,0,draw
M-2010-26,WC-2010,Cameroon v Denmark,group stage,6/19/2010,20:30:00,S-135,T-11,T-21,1,2,0,0,0,0,away team win
M-2010-27,WC-2010,Slovakia v Paraguay,group stage,6/20/2010,13:30:00,S-127,T-66,T-53,0,2,0,0,0,0,away team win
M-2010-28,WC-2010,Italy v New Zealand,group stage,6/20/2010,16:00:00,S-132,T-39,T-47,1,1,0,0,0,0,draw
M-2010-29,WC-2010,Brazil v Ivory Coast,group stage,6/20/2010,20:30:00,S-131,T-09,T-40,3,1,0,0,0,0,home team win
M-2010-30,WC-2010,Portugal v North Korea,group stage,6/21/2010,13:30:00,S-128,T-56,T-49,7,0,0,0,0,0,home team win
M-2010-31,WC-2010,Chile v Switzerland,group stage,6/21/2010,16:00:00,S-134,T-13,T-73,1,0,0,0,0,0,home team win
M-2010-32,WC-2010,Spain v Honduras,group stage,6/21/2010,20:30:00,S-130,T-71,T-33,2,0,0,0,0,0,home team win
M-2010-33,WC-2010,France v South Africa,group stage,6/22/2010,16:00:00,S-127,T-28,T-68,1,2,0,0,0,0,away team win
M-2010-34,WC-2010,Mexico v Uruguay,group stage,6/22/2010,16:00:00,S-136,T-44,T-81,0,1,0,0,0,0,away team win
M-2010-35,WC-2010,Greece v Argentina,group stage,6/22/2010,20:30:00,S-133,T-31,T-03,0,2,0,0,0,0,away team win
M-2010-36,WC-2010,Nigeria v South Korea,group stage,6/22/2010,20:30:00,S-129,T-48,T-69,2,2,0,0,0,0,draw
M-2010-37,WC-2010,Slovenia v England,group stage,6/23/2010,16:00:00,S-134,T-67,T-27,0,1,0,0,0,0,away team win
M-2010-38,WC-2010,United States v Algeria,group stage,6/23/2010,16:00:00,S-135,T-80,T-01,1,0,0,0,0,0,home team win
M-2010-39,WC-2010,Australia v Serbia,group stage,6/23/2010,20:30:00,S-132,T-04,T-64,2,1,0,0,0,0,home team win
M-2010-40,WC-2010,Ghana v Germany,group stage,6/23/2010,20:30:00,S-131,T-30,T-29,0,1,0,0,0,0,away team win
